date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-04-10,18.2,13.81,13.7,9.2,,,73,52,53.5,34,6.7,3.6,3.8,0.8,22,12.83,12.5,3,35,28,101.48,101.36,101.3,101.12,99.4,99.28,99.23,99.05,24100,24100,24100,24100,,,,,4.3,0,8.7,6.7,3.7,,,,,06:42:00,1712745720,6.7,19:56:00,1712793360,19.93,13.23,5,5,17,17,9,10,,,,,,8,6.6,6.5,5,,,,
2024-04-09,18.8,11.67,11.55,4.3,,,70,57.2,55.5,41,6.9,3.4,3,-0.8,22,9.38,11.5,1,42,34,101.68,101.36,101.3,100.91,99.58,99.27,99.21,98.83,24100,24100,24100,24100,,,,,6.5,0,6.5,4.5,1.6,0,0,0,,06:44:00,1712659440,6.73,19:55:00,1712706900,19.92,13.18,5,5,17,17,7,8,,,,,,7,3.8,3.5,0,,,,
2024-04-08,13.4,8.82,8.9,4.4,,,61,46.8,46.5,32,0.2,-2.2,-2,-4.2,12,7.71,7,2,,,102.12,101.88,101.91,101.69,100.01,99.78,99.8,99.58,24100,24100,24100,24100,,,,,9.1,0,3.9,1.9,0,0,0,0,,06:46:00,1712573160,6.77,19:54:00,1712620440,19.9,13.13,4,4,10,11,6,6,,,,,,7,4.2,3.5,0,,,,
2024-04-07,15.2,8.9,8.79,2.4,,,66,46.3,48,30,-0.8,-2.6,-2.4,-3.9,19,10.92,11.5,4,,,102.38,102.15,102.17,101.97,100.26,100.04,100.06,99.86,24100,24100,24100,24100,,,,,9.2,0,3.8,1.8,0,0,0,0,,06:47:00,1712486820,6.78,19:52:00,1712533920,19.87,13.08,5,5,12,12,4,4,,,,,,2,0.4,1,0,,,,
2024-04-06,12.5,7.68,8.05,3.6,,,82,57.1,58.5,35,1.6,-0.9,-1.3,-4.2,33,25.12,26,19,51,1,101.96,101.75,101.74,101.51,99.85,99.63,99.62,99.39,24100,24100,24100,24100,,,,,9.9,0,3,1.1,0,0,0,0,,06:49:00,1712400540,6.82,19:51:00,1712447460,19.85,13.03,4,4,11,11,1,2,,,,,,8,2.5,4,0,,,,
2024-04-05,6.2,3.06,3.2,0.2,,,92,79.5,78,64,1.7,-0.3,0.2,-1.4,41,26.88,29.5,18,51,32,101.49,101.01,101.09,100.69,99.36,98.88,98.97,98.58,24100,23700,21700,19300,,,,,14.8,0,0,0,0,0.2,0,0.2,0,06:51:00,1712314260,6.85,19:50:00,1712361000,19.83,12.98,3,3,6,6,1,3,,,,,,8,7.5,6.5,5,,,,
2024-04-04,3.4,1.92,1.8,0.2,,,100,96,95,90,2.9,1.3,1.1,-0.7,29,17.71,16.5,4,44,6,100.72,100,100.05,99.38,98.61,97.9,97.96,97.3,24100,15158.3,15250,6400,,,,,16.2,0,0,0,0,1.2,1.2,0,,06:53:00,1712227980,6.88,19:49:00,1712274540,19.82,12.93,2,2,3,3,0,1,,,,,,8,8,8,8,,,,
2024-04-03,6.4,4.79,3.8,1.2,,,100,99.9,98.5,97,6.1,4.8,3.7,1.3,41,25.12,28,15,62,9,99.93,99.57,99.71,99.48,97.85,97.5,97.62,97.4,24100,13016.7,13650,3200,,,,,14.2,0,0,0,0,32,32,0,,06:54:00,1712141640,6.9,19:48:00,1712188080,19.8,12.9,1,1,6,7,1,7,,,,,,8,8,8,8,,,,
2024-04-02,7.6,5.87,6.15,4.7,,,100,67.2,72,44,5.7,-0.2,0,-5.8,44,30.46,28,12,71,11,101.5,100.9,100.76,100.02,99.4,98.8,98.67,97.93,24100,18479.2,14050,4000,,,,,11.8,0,1.1,0,0,7.1,7.1,0,,06:56:00,1712055360,6.93,19:46:00,1712101560,19.77,12.83,2,2,6,6,7,7,,,,,,8,7.9,7.5,7,,,,
2024-04-01,11.5,6.33,6.45,1.4,,,68,54.5,54,40,-0.7,-2.5,-2.3,-3.9,22,14.92,16,10,41,1,101.63,101.52,101.5,101.37,99.51,99.41,99.39,99.26,24100,24100,24100,24100,,,,,11.6,0,1.4,0,0,0,0,0,,06:58:00,1711969080,6.97,19:45:00,1712015100,19.75,12.78,4,4,11,11,4,4,,,,,,8,6.6,4.5,1,,,,
2024-03-31,10.7,5.08,5.94,1.2,,,76,61,59,42,0.4,-2.1,-1.9,-4.1,25,14.29,14,3,32,33,101.61,101.44,101.35,101.09,99.48,99.32,99.23,98.98,24100,24100,24100,24100,,,,,12.1,0,0.9,0,0,0,0,0,,07:00:00,1711882800,7,19:44:00,1711928640,19.73,12.73,3,4,9,9,1,1,,,,,,8,6.1,5,2,,,,
2024-03-30,7.6,2.95,1.34,-4.9,,-7,89,61.4,67,45,-1.5,-4.2,-3.5,-5.6,27,11.21,15,3,38,34,101.6,101.21,101.23,100.86,99.46,99.08,99.1,98.74,24100,24100,24100,24100,,,,,16.7,0,0,0,0,0,0,0,,07:01:00,1711796460,7.02,19:43:00,1711842180,19.72,12.7,4,4,6,6,0,1,,,,,,8,5.2,4,0,,,,
2024-03-29,6.9,2.07,2.35,-2.2,,-6,79,60.9,59,39,-3.5,-4.9,-5.8,-8,35,20.75,20.5,6,49,29,101.62,101.53,101.54,101.46,99.48,99.4,99.41,99.33,24100,24100,24100,24100,,,,,15.7,0,0,0,0,0,0,0,,07:03:00,1711710180,7.05,19:42:00,1711755720,19.7,12.65,3,3,7,7,-3,-3,,,,,,7,4.3,3.5,0,,,,
2024-03-28,9.7,4.38,4.39,-0.9,,,70,52.3,52.5,35,-3,-4.9,-4.6,-6.2,23,16.08,14,5,40,26,102.03,101.77,101.75,101.47,99.89,99.64,99.61,99.34,24100,24100,24100,24100,,,,,13.6,0,0,0,0,0,0,0,,07:05:00,1711623900,7.08,19:40:00,1711669200,19.67,12.58,4,4,8,8,-3,-3,,,,,,8,3.4,4,0,,,,
2024-03-27,10.7,6.6,6.35,2,,,100,78.2,79.5,59,8.2,2.9,1.8,-4.7,31,19.83,20,9,45,22,101.9,101.34,101.32,100.74,99.77,99.23,99.21,98.65,24100,22633.3,20100,16100,,,,,11.7,0,1.4,0,0,0.3,0.3,0,,07:07:00,1711537620,7.12,19:39:00,1711582740,19.65,12.53,4,4,9,10,-4,-2,,,,,,8,7.5,6.5,5,,,,
2024-03-26,10,7.06,7.6,5.2,,,100,66.2,73,46,7,0.8,2,-3.1,23,12.92,15.5,8,40,12,101.75,101.3,101.26,100.77,99.63,99.19,99.15,98.67,24100,21900,16100,8100,,,,,10.4,0,2.6,0.6,0,5.1,5.1,0,,07:09:00,1711451340,7.15,19:38:00,1711496280,19.63,12.48,2,4,8,8,5,7,,,,,,8,7.6,6,4,,,,
2024-03-25,9.6,4.1,4.39,-0.8,,-6,68,55.7,56,44,-0.2,-4.1,-4.7,-9.2,23,16.62,15.5,8,39,6,102.85,102.32,102.28,101.71,100.67,100.17,100.12,99.58,24100,24100,24100,24100,,,,,13.6,0,0,0,0,0,0,0,,07:10:00,1711365000,7.17,19:37:00,1711409820,19.62,12.45,5,5,6,6,3,3,,,,,,7,4.3,4,1,,,,
2024-03-24,0.4,-2.98,-3.55,-7.5,,-12,69,51.5,53,37,-8.4,-11.9,-11.5,-14.6,21,11.88,11,1,36,9,103.05,102.83,102.75,102.45,100.86,100.64,100.56,100.27,24100,24100,24100,24100,,,,,21.6,0,0,0,0,0,0,0,2,07:12:00,1711278720,7.2,19:36:00,1711323360,19.6,12.4,5,5,2,2,-6,-4,,,,,,7,1.8,3.5,0,,,,
2024-03-23,2,-3.3,-2.85,-7.7,,-15,87,68,67,47,-5.5,-8.7,-9.1,-12.7,34,22.96,25,16,51,33,102.44,102.16,102.22,102,100.26,99.99,100.04,99.82,24100,22766.7,16100,8100,,,,,20.9,0,0,0,0,0,0,0,11,07:14:00,1711192440,7.23,19:34:00,1711236840,19.57,12.33,4,4,3,3,-8,-8,,,,,,8,3.1,4,0,,,,
2024-03-22,-3.1,-5.04,-5.75,-8.4,,-13,94,80.1,77.5,61,-4.8,-8.1,-8.8,-12.9,18,11.79,9.5,1,31,11,102.96,102.63,102.56,102.16,100.76,100.44,100.37,99.98,24100,11162.5,12450,800,,,,,23.8,0,0,0,0,9,0,11.6,1,07:16:00,1711106160,7.27,19:33:00,1711150380,19.55,12.28,1,1,-2,-1,-5,-3,,,,,,8,4.7,4,0,,,,
2024-03-21,-1,-4.71,-4.7,-8.4,,-15,64,51,50,36,-11.8,-13.6,-13.4,-15.1,38,23.83,24,10,53,32,102.93,102.41,102.33,101.73,100.73,100.22,100.15,99.57,24100,24100,24100,24100,,,,,22.7,0,0,0,0,0,0,0,0,07:18:00,1711019880,7.3,19:32:00,1711063920,19.53,12.23,3,4,-1,1,-9,-9,,,,,,8,4.1,4,0,,,,
2024-03-20,1.5,-1.56,-2.2,-5.9,,-12,97,68.5,69,41,-2.2,-6.9,-6.5,-10.7,57,30.83,33,9,74,29,101.68,100.66,100.91,100.14,99.52,98.53,98.77,98.03,24100,21620.8,13250,2400,,,,,20.2,0,0,0,0,1.4,0,1.4,2,07:19:00,1710933540,7.32,19:31:00,1710977460,19.52,12.2,1,4,2,2,-8,-5,,,,,,8,5.3,4.5,1,,,,
2024-03-19,1.2,-0.34,-0.35,-1.9,,-9,97,78.6,78.5,60,-0.7,-3.7,-4.3,-7.9,35,22.25,24,13,51,26,101.08,100.48,100.58,100.09,98.94,98.36,98.46,97.98,24100,17416.7,12650,1200,,,,,18.4,0,0,0,0,1.6,0,1.6,1,07:21:00,1710847260,7.35,19:30:00,1710891000,19.5,12.15,1,1,2,2,-1,-1,,,,,,8,7.2,5,2,,,,
2024-03-18,3,-0.28,0.1,-2.8,,-9,74,65,64.5,55,-2.5,-6.1,-5.6,-8.7,36,27.25,27,18,50,30,101.15,100.9,100.94,100.73,99.01,98.77,98.82,98.62,24100,23233.3,20100,16100,,,,,17.9,0,0,0,0,0.4,0,0.4,,07:23:00,1710760980,7.38,19:28:00,1710804480,19.47,12.08,3,3,4,4,-3,-1,,,,,,8,6.6,5,2,,,,
2024-03-17,5.8,2.85,2.25,-1.3,,,96,72,73,50,2.6,-2,-2.8,-8.2,39,24.25,26.5,14,60,29,100.75,100.32,100.34,99.93,98.63,98.22,98.24,97.85,24100,23766.7,20100,16100,,,,,15.8,0,0,0,0,2.4,0,2.4,,07:25:00,1710674700,7.42,19:27:00,1710718020,19.45,12.03,3,3,5,6,-3,-2,,,,,,8,6.6,4.5,1,,,,
2024-03-16,10.1,4.65,4.34,-1.4,,-5,93,77,74,55,4.2,0.8,1.1,-1.9,36,18.71,22,8,75,29,101.36,100.64,100.6,99.84,99.25,98.53,98.51,97.76,24100,24100,24100,24100,,,,,13.7,0,0,0,0,2,2,0,,07:27:00,1710588420,7.45,19:26:00,1710631560,19.43,11.98,3,3,9,9,0,1,,,,,,8,6.5,4.5,1,,,,
2024-03-15,12.9,6.32,6.2,-0.5,,,100,81.9,78.5,57,5.8,3.3,2.5,-0.7,28,16.46,16,4,37,36,101.51,101.28,101.25,100.99,99.4,99.18,99.15,98.9,24100,22362.5,15250,6400,,,,,11.8,0,1.2,0,0,0,0,0,,07:28:00,1710502080,7.47,19:25:00,1710545100,19.42,11.95,3,4,10,10,-1,-1,,,,,,8,7.1,5.5,3,,,,
